Message Type,Sequence Number,Latitude,Longitude,Heading
LCV_BS6_OBD2_PERIODIC,39411,12.95735,79.96468,68.91
LCV_BS6_OBD2_PERIODIC,39412,12.95757,79.9652,67.05
LCV_BS6_OBD2_PERIODIC,39413,12.95777,79.96573,68.65
LCV_BS6_OBD2_PERIODIC,39414,12.95797,79.96621,66.56
LCV_BS6_OBD2_PERIODIC,39415,12.95816,79.96667,69.65
LCV_BS6_OBD2_PERIODIC,39416,12.95836,79.96717,68.87
LCV_BS6_OBD2_PERIODIC,39417,12.95855,79.96765,69.01
LCV_BS6_OBD2_PERIODIC,39418,12.95876,79.96818,67.12
GPS_MESSAGE,11,12.95891,79.96854,65
LCV_BS6_OBD2_PERIODIC,39419,12.959,79.96871,63.31
LCV_BS6_OBD2_PERIODIC,39420,12.95928,79.96918,57.15
LCV_BS6_OBD2_PERIODIC,39421,12.95958,79.96967,56.97
LCV_BS6_OBD2_PERIODIC,39422,12.95992,79.97019,55.72
LCV_BS6_OBD2_PERIODIC,39423,12.96022,79.97073,61.65
LCV_BS6_OBD2_PERIODIC,39424,12.96048,79.97122,55.77
LCV_BS6_OBD2_PERIODIC,39425,12.9607,79.97162,60.38
LCV_BS6_OBD2_PERIODIC,39426,12.96095,79.97205,59.61
LCV_BS6_OBD2_PERIODIC,39427,12.96124,79.97247,53.43
LCV_BS6_OBD2_PERIODIC,39428,12.96157,79.97289,51.74
GPS_MESSAGE,6,12.9618,79.97316,48
LCV_BS6_OBD2_PERIODIC,39429,12.96194,79.97331,43.65
LCV_BS6_OBD2_PERIODIC,39430,12.96243,79.97364,29.67
LCV_BS6_OBD2_PERIODIC,39431,12.96295,79.97391,27.69
LCV_BS6_OBD2_PERIODIC,39432,12.96347,79.97419,28.54
